                                                                                                                                                                                                                                                                                           10 May 2023 20:57:51
Civil Air Patrol Use Only
AreaTarget-Russia-To-Satellite-KinoSat_110201, Satellite-KinoSat_110202, Satellite-KinoSat_110203, Satellite-KinoSat_110204, Satellite-KinoSat_110205, Satellite-KinoSat_110206, Satellite-KinoSat_110207, Satellite-KinoSat_110208, Satellite-KinoSat_110209, Satellite-KinoSat_110210:  Access Summary Report


Russia-To-KinoSat_110201
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 01:28:50.115     1 Jun 2027 01:32:59.157           249.041
                       2     1 Jun 2027 03:03:43.318     1 Jun 2027 03:10:57.518           434.199
                       3     1 Jun 2027 04:40:12.244     1 Jun 2027 04:46:36.159           383.915
                       4     1 Jun 2027 06:18:30.020     1 Jun 2027 06:22:24.368           234.348
                       5     1 Jun 2027 07:53:56.948     1 Jun 2027 07:57:58.118           241.171
                       6     1 Jun 2027 07:58:19.070     1 Jun 2027 07:59:18.244            59.174
                       7     1 Jun 2027 13:00:26.716     1 Jun 2027 13:02:16.984           110.267
                       8     1 Jun 2027 14:36:27.864     1 Jun 2027 14:39:48.421           200.557
                       9     1 Jun 2027 16:13:02.322     1 Jun 2027 16:18:16.223           313.902
                      10     1 Jun 2027 17:49:12.494     1 Jun 2027 17:56:00.241           407.747
                      11     1 Jun 2027 19:25:06.789     1 Jun 2027 19:31:48.439           401.650
                      12     1 Jun 2027 21:03:59.002     1 Jun 2027 21:09:29.941           330.939
                      13     1 Jun 2027 21:10:01.050     1 Jun 2027 21:11:37.345            96.295
                      14     1 Jun 2027 22:29:38.308     1 Jun 2027 22:30:45.490            67.182
                      15     1 Jun 2027 22:40:59.914     1 Jun 2027 22:42:40.556           100.642
                      16     1 Jun 2027 22:43:39.357     1 Jun 2027 22:44:01.850            22.493
                      17     2 Jun 2027 00:03:34.813     2 Jun 2027 00:04:38.843            64.030
                      18     2 Jun 2027 00:04:52.190     2 Jun 2027 00:08:17.346           205.155
                      19     2 Jun 2027 01:39:06.449     2 Jun 2027 01:39:57.203            50.755
                      20     2 Jun 2027 01:40:35.360     2 Jun 2027 01:45:14.150           278.789
                      21     2 Jun 2027 03:15:25.712     2 Jun 2027 03:22:58.355           452.644
                      22     2 Jun 2027 04:52:32.563     2 Jun 2027 04:58:51.568           379.005
                      23     2 Jun 2027 06:30:27.847     2 Jun 2027 06:34:25.837           237.990
                      24     2 Jun 2027 08:03:32.905     2 Jun 2027 08:09:53.423           380.519
                      25     2 Jun 2027 08:10:35.359     2 Jun 2027 08:11:34.760            59.401
                      26     2 Jun 2027 13:12:11.406     2 Jun 2027 13:14:57.022           165.616
                      27     2 Jun 2027 14:48:30.376     2 Jun 2027 14:51:56.369           205.993
                      28     2 Jun 2027 16:25:10.829     2 Jun 2027 16:31:23.337           372.508
                      29     2 Jun 2027 18:01:17.373     2 Jun 2027 18:07:57.502           400.129
                      30     2 Jun 2027 19:37:21.992     2 Jun 2027 19:43:30.775           368.782
                      31     2 Jun 2027 21:16:28.131     2 Jun 2027 21:23:36.615           428.484
                      32     2 Jun 2027 22:41:18.565     2 Jun 2027 22:42:54.164            95.598
                      33     2 Jun 2027 22:53:02.387     2 Jun 2027 22:54:03.568            61.180
                      34     3 Jun 2027 00:15:17.607     3 Jun 2027 00:16:23.498            65.890
                      35     3 Jun 2027 00:17:12.403     3 Jun 2027 00:20:30.768           198.365
                      36     3 Jun 2027 01:50:15.231     3 Jun 2027 01:52:10.560           115.329
                      37     3 Jun 2027 01:52:19.360     3 Jun 2027 01:57:36.728           317.368
                      38     3 Jun 2027 01:58:12.765     3 Jun 2027 01:58:37.526            24.761
                      39     3 Jun 2027 03:27:43.988     3 Jun 2027 03:35:02.344           438.355
                      40     3 Jun 2027 05:04:28.591     3 Jun 2027 05:11:01.410           392.819
                      41     3 Jun 2027 06:42:27.090     3 Jun 2027 06:46:37.999           250.909
                      42     3 Jun 2027 08:16:04.955     3 Jun 2027 08:23:29.271           444.316
                      43     3 Jun 2027 13:24:11.670     3 Jun 2027 13:26:56.117           164.447
                      44     3 Jun 2027 15:00:42.134     3 Jun 2027 15:04:04.765           202.630
                      45     3 Jun 2027 15:05:26.999     3 Jun 2027 15:08:09.742           162.743
                      46     3 Jun 2027 16:37:24.367     3 Jun 2027 16:43:24.950           360.584
                      47     3 Jun 2027 18:12:55.425     3 Jun 2027 18:13:13.377            17.952
                      48     3 Jun 2027 18:13:22.602     3 Jun 2027 18:20:20.762           418.160
                      49     3 Jun 2027 19:49:40.626     3 Jun 2027 19:50:51.017            70.391
