                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           23 May 2023 02:03:17
Civil Air Patrol Use Only
AreaTarget-Russia-To-Satellite-KinoSat_110101, Satellite-KinoSat_110102, Satellite-KinoSat_110103, Satellite-KinoSat_110104, Satellite-KinoSat_110105, Satellite-KinoSat_110106, Satellite-KinoSat_110107, Satellite-KinoSat_110108, Satellite-KinoSat_110109, Satellite-KinoSat_110110, Satellite-KinoSat_110201, Satellite-KinoSat_110202, Satellite-KinoSat_110203, Satellite-KinoSat_110204, Satellite-KinoSat_110205, Satellite-KinoSat_110206, Satellite-KinoSat_110207, Satellite-KinoSat_110208, Satellite-KinoSat_110209, Satellite-KinoSat_110210, Satellite-KinoSat_110301, Satellite-KinoSat_110302, Satellite-KinoSat_110303, Satellite-KinoSat_110304, Satellite-KinoSat_110305, Satellite-KinoSat_110306, Satellite-KinoSat_110307, Satellite-KinoSat_110308, Satellite-KinoSat_110309, Satellite-KinoSat_110310, Satellite-KinoSat_110401, Satellite-KinoSat_110402, Satellite-KinoSat_110403, Satellite-KinoSat_110404, Satellite-KinoSat_110405, Satellite-KinoSat_110406, Satellite-KinoSat_110407, Satellite-KinoSat_110408, Satellite-KinoSat_110409, Satellite-KinoSat_110410, Satellite-KinoSat_110501, Satellite-KinoSat_110502, Satellite-KinoSat_110503, Satellite-KinoSat_110504, Satellite-KinoSat_110505, Satellite-KinoSat_110506, Satellite-KinoSat_110507, Satellite-KinoSat_110508, Satellite-KinoSat_110509, Satellite-KinoSat_110510:  Access Summary Report


Russia-To-KinoSat_110101
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 03:08:30.346     1 Jun 2027 03:15:49.225           438.879
                       2     1 Jun 2027 04:45:33.998     1 Jun 2027 04:50:18.020           284.021
                       3     1 Jun 2027 04:50:27.624     1 Jun 2027 04:51:38.555            70.931
                       4     1 Jun 2027 06:22:27.659     1 Jun 2027 06:27:22.645           294.986
                       5     1 Jun 2027 07:57:37.871     1 Jun 2027 07:57:57.480            19.609
                       6     1 Jun 2027 07:59:12.904     1 Jun 2027 08:02:23.887           190.982
                       7     2 Jun 2027 03:20:56.823     2 Jun 2027 03:27:36.971           400.148
                       8     2 Jun 2027 04:57:58.741     2 Jun 2027 05:02:15.064           256.323
                       9     2 Jun 2027 05:02:16.164     2 Jun 2027 05:03:22.182            66.018
                      10     2 Jun 2027 06:34:42.465     2 Jun 2027 06:39:12.391           269.926
                      11     2 Jun 2027 08:12:51.545     2 Jun 2027 08:14:00.347            68.801
                      12     3 Jun 2027 03:33:20.380     3 Jun 2027 03:39:43.804           383.424
                      13     3 Jun 2027 05:10:50.595     3 Jun 2027 05:15:14.621           264.026
                      14     3 Jun 2027 06:46:55.220     3 Jun 2027 06:51:11.967           256.748
                      15     4 Jun 2027 03:45:34.725     4 Jun 2027 03:51:44.972           370.247
                      16     4 Jun 2027 05:22:52.683     4 Jun 2027 05:27:31.225           278.542
                      17     4 Jun 2027 06:59:04.653     4 Jun 2027 07:03:53.254           288.600
                      18     5 Jun 2027 03:57:11.359     5 Jun 2027 04:03:36.645           385.286
                      19     5 Jun 2027 05:35:27.849     5 Jun 2027 05:39:19.188           231.339
                      20     5 Jun 2027 07:10:53.415     5 Jun 2027 07:14:56.838           243.423
                      21     5 Jun 2027 07:15:19.157     5 Jun 2027 07:16:17.303            58.147
                      22     6 Jun 2027 04:09:30.827     6 Jun 2027 04:15:52.836           382.009
                      23     6 Jun 2027 05:47:28.695     6 Jun 2027 05:51:26.135           237.440
                      24     6 Jun 2027 07:20:34.790     6 Jun 2027 07:26:53.247           378.457
                      25     6 Jun 2027 07:27:35.191     6 Jun 2027 07:28:34.732            59.541
                      26     7 Jun 2027 04:21:31.020     7 Jun 2027 04:28:01.765           390.746
                      27     7 Jun 2027 05:59:29.200     7 Jun 2027 06:03:39.099           249.899
                      28     7 Jun 2027 07:33:06.727     7 Jun 2027 07:40:30.060           443.333
                      29     8 Jun 2027 03:00:00.000     8 Jun 2027 03:04:03.048           243.048
                      30     8 Jun 2027 04:33:22.755     8 Jun 2027 04:39:14.460           351.706
                      31     8 Jun 2027 04:39:21.941     8 Jun 2027 04:40:06.555            44.615
                      32     8 Jun 2027 06:11:32.665     8 Jun 2027 06:15:37.194           244.529
                      33     8 Jun 2027 07:47:10.763     8 Jun 2027 07:51:38.101           267.338
                      34     9 Jun 2027 03:08:45.423     9 Jun 2027 03:16:04.199           438.776
                      35     9 Jun 2027 04:45:49.889     9 Jun 2027 04:50:32.567           282.677
                      36     9 Jun 2027 04:50:42.280     9 Jun 2027 04:51:53.389            71.109
                      37     9 Jun 2027 06:22:42.468     9 Jun 2027 06:27:37.618           295.150
                      38     9 Jun 2027 07:57:53.628     9 Jun 2027 07:58:11.604            17.975
                      39     9 Jun 2027 07:59:27.708     9 Jun 2027 08:02:38.562           190.854
                      40    10 Jun 2027 03:21:11.509    10 Jun 2027 03:27:51.762           400.253
                      41    10 Jun 2027 04:58:13.420    10 Jun 2027 05:02:30.217           256.797
                      42    10 Jun 2027 05:02:30.971    10 Jun 2027 05:03:36.803            65.832
                      43    10 Jun 2027 06:34:57.661    10 Jun 2027 06:39:27.601           269.940
                      44    10 Jun 2027 08:13:06.936    10 Jun 2027 08:14:15.108            68.172
                      45    11 Jun 2027 03:33:35.740    11 Jun 2027 03:39:58.902           383.162
                      46    11 Jun 2027 05:11:06.420    11 Jun 2027 05:15:30.188           263.767
                      47    11 Jun 2027 06:47:13.690    11 Jun 2027 06:51:26.509           252.819
                      48    12 Jun 2027 03:45:49.630    12 Jun 2027 03:51:59.823           370.192
                      49    12 Jun 2027 05:23:07.257    12 Jun 2027 05:27:46.444           279.187
                      50    12 Jun 2027 06:59:19.329    12 Jun 2027 07:04:08.793           289.463
                      51    13 Jun 2027 03:57:26.391    13 Jun 2027 04:03:51.843           385.452
                      52    13 Jun 2027 05:35:43.503    13 Jun 2027 05:39:35.389           231.886
                      53    13 Jun 2027 07:11:09.882    13 Jun 2027 07:15:12.128           242.246
                      54    13 Jun 2027 07:15:34.356    13 Jun 2027 07:16:32.584            58.227

Min Duration          38     9 Jun 2027 07:57:53.628     9 Jun 2027 07:58:11.604            17.975
Max Duration          28     7 Jun 2027 07:33:06.727     7 Jun 2027 07:40:30.060           443.333
Mean Duration                                                                              250.500
Total Duration                                                                           13527.004


Russia-To-KinoSat_110102
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 03:00:00.000     1 Jun 2027 03:06:15.097           375.097
                       2     1 Jun 2027 04:35:36.601     1 Jun 2027 04:41:16.140           339.539
                       3     1 Jun 2027 04:41:25.231     1 Jun 2027 04:42:15.604            50.373
                       4     1 Jun 2027 06:13:26.937     1 Jun 2027 06:17:48.264           261.327
                       5     1 Jun 2027 07:49:25.614     1 Jun 2027 07:53:43.446           257.832
                       6     2 Jun 2027 03:11:01.003     2 Jun 2027 03:18:13.744           432.741
                       7     2 Jun 2027 04:48:13.297     2 Jun 2027 04:52:41.787           268.489
                       8     2 Jun 2027 04:52:51.514     2 Jun 2027 04:54:03.103            71.589
                       9     2 Jun 2027 06:24:56.123     2 Jun 2027 06:29:45.337           289.214
                      10     2 Jun 2027 08:00:09.174     2 Jun 2027 08:00:21.042            11.868
                      11     2 Jun 2027 08:01:53.329     2 Jun 2027 08:04:46.702           173.374
                      12     3 Jun 2027 03:23:22.159     3 Jun 2027 03:30:04.586           402.427
                      13     3 Jun 2027 05:00:19.997     3 Jun 2027 05:05:17.918           297.920
                      14     3 Jun 2027 06:37:05.731     3 Jun 2027 06:41:44.833           279.102
                      15     3 Jun 2027 08:15:17.329     3 Jun 2027 08:16:17.422            60.093
                      16     4 Jun 2027 03:35:48.742     4 Jun 2027 03:42:10.697           381.954
                      17     4 Jun 2027 05:13:21.528     4 Jun 2027 05:17:45.739           264.212
                      18     4 Jun 2027 06:49:25.491     4 Jun 2027 06:53:39.585           254.093
                      19     5 Jun 2027 03:47:56.334     5 Jun 2027 03:53:43.370           347.036
                      20     5 Jun 2027 03:53:51.712     5 Jun 2027 03:54:01.718            10.005
                      21     5 Jun 2027 05:25:27.887     5 Jun 2027 05:29:58.678           270.791
                      22     5 Jun 2027 07:01:28.590     5 Jun 2027 07:05:40.134           251.545
                      23     5 Jun 2027 07:05:44.394     5 Jun 2027 07:06:25.980            41.587
                      24     6 Jun 2027 03:59:39.634     6 Jun 2027 04:06:02.924           383.290
                      25     6 Jun 2027 05:37:57.027     6 Jun 2027 05:41:40.718           223.690
                      26     6 Jun 2027 07:11:58.245     6 Jun 2027 07:12:42.793            44.548
                      27     6 Jun 2027 07:13:17.837     6 Jun 2027 07:17:27.086           249.249
                      28     6 Jun 2027 07:17:47.037     6 Jun 2027 07:18:46.007            58.970
                      29     7 Jun 2027 04:12:00.679     7 Jun 2027 04:17:49.804           349.125
                      30     7 Jun 2027 04:17:51.169     7 Jun 2027 04:18:14.075            22.905
                      31     7 Jun 2027 05:49:54.754     7 Jun 2027 05:53:53.642           238.888
                      32     7 Jun 2027 07:23:01.200     7 Jun 2027 07:29:25.442           384.242
                      33     7 Jun 2027 07:30:02.868     7 Jun 2027 07:31:00.758            57.890
                      34     8 Jun 2027 04:23:52.040     8 Jun 2027 04:29:05.707           313.667
                      35     8 Jun 2027 04:29:08.128     8 Jun 2027 04:30:05.501            57.373
                      36     8 Jun 2027 04:30:10.028     8 Jun 2027 04:30:28.885            18.857
                      37     8 Jun 2027 06:01:54.788     8 Jun 2027 06:06:04.152           249.364
                      38     8 Jun 2027 07:35:31.160     8 Jun 2027 07:42:55.480           444.320
                      39     9 Jun 2027 03:00:00.000     9 Jun 2027 03:06:30.309           390.309
                      40     9 Jun 2027 04:35:52.090     9 Jun 2027 04:41:30.801           338.711
                      41     9 Jun 2027 04:41:39.680     9 Jun 2027 04:42:30.259            50.578
                      42     9 Jun 2027 06:13:42.274     9 Jun 2027 06:18:03.024           260.750
                      43     9 Jun 2027 07:49:41.158     9 Jun 2027 07:53:55.829           254.671
                      44    10 Jun 2027 03:11:16.570    10 Jun 2027 03:18:28.646           432.076
                      45    10 Jun 2027 04:48:28.524    10 Jun 2027 04:52:56.768           268.244
                      46    10 Jun 2027 04:53:06.205    10 Jun 2027 04:54:18.038            71.833
                      47    10 Jun 2027 06:25:11.520    10 Jun 2027 06:30:00.297           288.776
                      48    10 Jun 2027 08:00:26.662    10 Jun 2027 08:00:36.497             9.835
                      49    10 Jun 2027 08:02:08.380    10 Jun 2027 08:05:01.440           173.060
                      50    11 Jun 2027 03:23:36.905    11 Jun 2027 03:30:19.650           402.745
                      51    11 Jun 2027 05:00:34.825    11 Jun 2027 05:05:32.711           297.885
                      52    11 Jun 2027 06:37:20.379    11 Jun 2027 06:42:00.249           279.870
                      53    11 Jun 2027 08:15:32.035    11 Jun 2027 08:16:31.721            59.686
                      54    12 Jun 2027 03:36:04.753    12 Jun 2027 03:42:25.805           381.052
                      55    12 Jun 2027 05:13:36.381    12 Jun 2027 05:18:01.102           264.722
                      56    12 Jun 2027 06:49:40.996    12 Jun 2027 06:53:54.886           253.890
                      57    13 Jun 2027 03:48:11.490    13 Jun 2027 03:53:58.401           346.911
                      58    13 Jun 2027 03:54:06.875    13 Jun 2027 03:54:16.573             9.698
                      59    13 Jun 2027 05:25:42.015    13 Jun 2027 05:30:13.665           271.650
                      60    13 Jun 2027 07:01:43.163    13 Jun 2027 07:05:55.166           252.003
                      61    13 Jun 2027 07:05:59.352    13 Jun 2027 07:06:41.705            42.353

Min Duration          58    13 Jun 2027 03:54:06.875    13 Jun 2027 03:54:16.573             9.698
Max Duration          38     8 Jun 2027 07:35:31.160     8 Jun 2027 07:42:55.480           444.320
Mean Duration                                                                              227.703
Total Duration                                                                           13889.896


Russia-To-KinoSat_110103
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 04:26:01.110     1 Jun 2027 04:32:40.674           399.564
                       2     1 Jun 2027 06:04:04.639     1 Jun 2027 06:08:14.262           249.624
                       3     1 Jun 2027 07:37:48.352     1 Jun 2027 07:44:41.006           412.654
                       4     2 Jun 2027 03:01:13.259     2 Jun 2027 03:08:41.948           448.689
                       5     2 Jun 2027 04:38:08.120     2 Jun 2027 04:43:26.874           318.754
                       6     2 Jun 2027 04:43:44.731     2 Jun 2027 04:44:37.746            53.015
                       7     2 Jun 2027 06:15:42.137     2 Jun 2027 06:20:12.796           270.659
                       8     2 Jun 2027 07:50:04.953     2 Jun 2027 07:51:17.004            72.051
                       9     2 Jun 2027 07:51:54.368     2 Jun 2027 07:55:23.338           208.970
                      10     3 Jun 2027 03:13:35.307     3 Jun 2027 03:20:26.474           411.167
                      11     3 Jun 2027 04:50:37.422     3 Jun 2027 04:55:06.704           269.283
                      12     3 Jun 2027 04:55:12.939     3 Jun 2027 04:56:28.071            75.132
                      13     3 Jun 2027 06:27:26.042     3 Jun 2027 06:32:10.666           284.625
                      14     3 Jun 2027 08:02:42.209     3 Jun 2027 08:02:43.444             1.234
                      15     3 Jun 2027 08:04:28.392     3 Jun 2027 08:07:09.765           161.373
                      16     4 Jun 2027 03:25:46.191     4 Jun 2027 03:32:30.700           404.509
                      17     4 Jun 2027 05:02:52.864     4 Jun 2027 05:07:10.221           257.357
                      18     4 Jun 2027 05:07:13.945     4 Jun 2027 05:07:47.896            33.951
                      19     4 Jun 2027 06:39:29.219     4 Jun 2027 06:44:38.119           308.900
                      20     4 Jun 2027 08:17:48.332     4 Jun 2027 08:18:38.535            50.204
                      21     5 Jun 2027 03:38:19.943     5 Jun 2027 03:44:37.136           377.193
                      22     5 Jun 2027 05:15:45.019     5 Jun 2027 05:20:14.977           269.958
                      23     5 Jun 2027 06:51:55.982     5 Jun 2027 06:56:07.008           251.026
                      24     6 Jun 2027 03:50:00.393     6 Jun 2027 03:55:47.658           347.264
                      25     6 Jun 2027 03:55:49.844     6 Jun 2027 03:56:16.975            27.131
                      26     6 Jun 2027 05:27:53.057     6 Jun 2027 05:32:22.760           269.703
                      27     6 Jun 2027 07:03:50.401     6 Jun 2027 07:08:04.004           253.603
                      28     6 Jun 2027 07:08:09.056     6 Jun 2027 07:08:57.791            48.735
                      29     7 Jun 2027 04:02:06.522     7 Jun 2027 04:08:28.269           381.748
                      30     7 Jun 2027 05:40:22.047     7 Jun 2027 05:44:17.159           235.112
                      31     7 Jun 2027 07:13:40.627     7 Jun 2027 07:15:11.157            90.530
                      32     7 Jun 2027 07:15:36.826     7 Jun 2027 07:19:55.780           258.954
                      33     7 Jun 2027 07:20:16.960     7 Jun 2027 07:21:21.115            64.155
                      34     8 Jun 2027 04:14:26.881     8 Jun 2027 04:20:17.555           350.674
                      35     8 Jun 2027 04:20:23.356     8 Jun 2027 04:20:34.220            10.863
                      36     8 Jun 2027 05:52:20.499     8 Jun 2027 05:56:19.283           238.783
                      37     8 Jun 2027 07:25:37.629     8 Jun 2027 07:31:55.926           378.297
                      38     8 Jun 2027 07:32:07.960     8 Jun 2027 07:33:27.020            79.060
                      39     9 Jun 2027 04:26:15.633     9 Jun 2027 04:32:55.841           400.208
                      40     9 Jun 2027 06:04:19.529     9 Jun 2027 06:08:29.180           249.651
                      41     9 Jun 2027 07:38:03.697     9 Jun 2027 07:44:55.811           412.114
                      42    10 Jun 2027 03:01:28.512    10 Jun 2027 03:08:56.944           448.432
                      43    10 Jun 2027 04:38:22.801    10 Jun 2027 04:43:33.576           310.774
                      44    10 Jun 2027 04:43:59.125    10 Jun 2027 04:44:52.314            53.189
                      45    10 Jun 2027 06:15:56.966    10 Jun 2027 06:20:27.665           270.699
                      46    10 Jun 2027 07:50:19.388    10 Jun 2027 07:51:19.979            60.591
                      47    10 Jun 2027 07:52:10.031    10 Jun 2027 07:55:38.084           208.053
                      48    11 Jun 2027 03:13:50.559    11 Jun 2027 03:20:41.539           410.980
                      49    11 Jun 2027 04:50:52.186    11 Jun 2027 04:55:21.183           268.996
                      50    11 Jun 2027 04:55:27.648    11 Jun 2027 04:56:43.054            75.406
                      51    11 Jun 2027 06:27:42.447    11 Jun 2027 06:32:25.458           283.012
                      52    11 Jun 2027 08:04:54.871    11 Jun 2027 08:07:24.606           149.735
                      53    12 Jun 2027 03:26:01.097    12 Jun 2027 03:32:45.832           404.734
                      54    12 Jun 2027 05:03:11.891    12 Jun 2027 05:07:25.794           253.903
                      55    12 Jun 2027 05:07:28.970    12 Jun 2027 05:08:03.654            34.685
                      56    12 Jun 2027 06:39:44.679    12 Jun 2027 06:44:53.234           308.555
                      57    12 Jun 2027 08:18:03.009    12 Jun 2027 08:18:53.065            50.056
                      58    13 Jun 2027 03:38:35.137    13 Jun 2027 03:44:52.185           377.048
                      59    13 Jun 2027 05:15:59.753    13 Jun 2027 05:20:30.250           270.498
                      60    13 Jun 2027 06:52:10.985    13 Jun 2027 06:56:22.536           251.550

Min Duration          14     3 Jun 2027 08:02:42.209     3 Jun 2027 08:02:43.444             1.234
Max Duration           4     2 Jun 2027 03:01:13.259     2 Jun 2027 03:08:41.948           448.689
Mean Duration                                                                              236.290
Total Duration                                                                           14177.374


Russia-To-KinoSat_110104
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 04:16:35.135     1 Jun 2027 04:22:43.711           368.576
                       2     1 Jun 2027 05:54:31.435     1 Jun 2027 05:58:30.297           238.862
                       3     1 Jun 2027 07:27:53.014     1 Jun 2027 07:35:34.920           461.905
                       4     2 Jun 2027 04:28:25.945     2 Jun 2027 04:34:22.378           356.433
                       5     2 Jun 2027 04:34:41.426     2 Jun 2027 04:35:09.108            27.683
                       6     2 Jun 2027 06:06:28.534     2 Jun 2027 06:10:38.822           250.288
                       7     2 Jun 2027 07:40:19.324     2 Jun 2027 07:47:04.374           405.051
                       8     3 Jun 2027 03:03:41.155     3 Jun 2027 03:11:06.450           445.295
                       9     3 Jun 2027 04:40:36.189     3 Jun 2027 04:45:40.974           304.785
                      10     3 Jun 2027 04:45:52.538     3 Jun 2027 04:46:59.897            67.359
                      11     3 Jun 2027 06:17:43.431     3 Jun 2027 06:22:37.283           293.852
                      12     3 Jun 2027 07:52:37.726     3 Jun 2027 07:53:38.359            60.633
                      13     3 Jun 2027 07:54:25.848     3 Jun 2027 07:57:46.421           200.574
                      14     4 Jun 2027 03:16:08.202     4 Jun 2027 03:22:52.965           404.763
                      15     4 Jun 2027 04:53:02.773     4 Jun 2027 04:57:31.907           269.135
                      16     4 Jun 2027 04:57:36.538     4 Jun 2027 04:58:53.308            76.769
                      17     4 Jun 2027 06:29:56.218     4 Jun 2027 06:34:30.553           274.336
                      18     4 Jun 2027 08:07:06.537     4 Jun 2027 08:09:33.203           146.666
                      19     5 Jun 2027 03:28:12.748     5 Jun 2027 03:34:57.277           404.528
                      20     5 Jun 2027 05:05:44.830     5 Jun 2027 05:10:20.245           275.415
                      21     5 Jun 2027 06:42:02.702     5 Jun 2027 06:46:47.867           285.165
                      22     5 Jun 2027 08:20:16.406     5 Jun 2027 08:20:47.197            30.791
                      23     6 Jun 2027 03:40:47.384     6 Jun 2027 03:47:03.624           376.240
                      24     6 Jun 2027 05:18:09.782     6 Jun 2027 05:22:42.962           273.181
                      25     6 Jun 2027 06:54:19.588     6 Jun 2027 06:58:57.105           277.517
                      26     7 Jun 2027 03:52:24.026     7 Jun 2027 03:58:46.279           382.253
                      27     7 Jun 2027 05:30:22.974     7 Jun 2027 05:34:47.029           264.055
                      28     7 Jun 2027 07:06:13.782     7 Jun 2027 07:10:28.402           254.620
                      29     7 Jun 2027 07:10:34.458     7 Jun 2027 07:11:29.165            54.707
                      30     8 Jun 2027 04:04:34.976     8 Jun 2027 04:10:53.621           378.644
                      31     8 Jun 2027 05:42:45.108     8 Jun 2027 05:46:42.426           237.318
                      32     8 Jun 2027 07:16:02.082     8 Jun 2027 07:17:47.329           105.247
                      33     8 Jun 2027 07:17:48.774     8 Jun 2027 07:22:28.507           279.733
                      34     8 Jun 2027 07:22:44.671     8 Jun 2027 07:23:51.433            66.762
                      35     9 Jun 2027 04:16:50.073     9 Jun 2027 04:22:58.678           368.605
                      36     9 Jun 2027 05:54:46.068     9 Jun 2027 05:58:45.212           239.144
                      37     9 Jun 2027 07:28:08.242     9 Jun 2027 07:35:49.812           461.570
                      38    10 Jun 2027 04:28:41.173    10 Jun 2027 04:34:37.240           356.067
                      39    10 Jun 2027 04:34:48.850    10 Jun 2027 04:35:24.279            35.429
                      40    10 Jun 2027 06:06:43.336    10 Jun 2027 06:10:53.865           250.529
                      41    10 Jun 2027 07:40:34.631    10 Jun 2027 07:47:19.069           404.439
                      42    11 Jun 2027 03:03:56.416    11 Jun 2027 03:11:18.629           442.213
                      43    11 Jun 2027 04:40:51.659    11 Jun 2027 04:45:55.819           304.160
                      44    11 Jun 2027 04:46:07.366    11 Jun 2027 04:47:14.547            67.181
                      45    11 Jun 2027 06:17:58.354    11 Jun 2027 06:22:52.156           293.803
                      46    11 Jun 2027 07:52:54.426    11 Jun 2027 07:53:50.982            56.556
                      47    11 Jun 2027 07:54:40.899    11 Jun 2027 07:58:01.160           200.261
                      48    12 Jun 2027 03:16:23.237    12 Jun 2027 03:23:08.103           404.866
                      49    12 Jun 2027 04:53:17.893    12 Jun 2027 04:57:46.661           268.768
                      50    12 Jun 2027 04:57:51.372    12 Jun 2027 04:59:08.009            76.637
                      51    12 Jun 2027 06:30:10.418    12 Jun 2027 06:34:45.224           274.806
                      52    12 Jun 2027 08:07:41.419    12 Jun 2027 08:09:47.994           126.574
                      53    13 Jun 2027 03:28:28.164    13 Jun 2027 03:35:12.286           404.122
                      54    13 Jun 2027 05:06:01.633    13 Jun 2027 05:10:35.594           273.962
                      55    13 Jun 2027 06:42:18.575    13 Jun 2027 06:47:02.276           283.701
                      56    13 Jun 2027 08:20:54.191    13 Jun 2027 08:21:01.702             7.511

Min Duration          56    13 Jun 2027 08:20:54.191    13 Jun 2027 08:21:01.702             7.511
Max Duration           3     1 Jun 2027 07:27:53.014     1 Jun 2027 07:35:34.920           461.905
Mean Duration                                                                              253.572
Total Duration                                                                           14200.043


Russia-To-KinoSat_110105
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 04:06:55.883     1 Jun 2027 04:13:03.608           367.725
                       2     1 Jun 2027 05:44:55.490     1 Jun 2027 05:48:52.206           236.716
                       3     1 Jun 2027 07:18:06.716     1 Jun 2027 07:24:18.915           372.199
                       4     1 Jun 2027 07:24:23.682     1 Jun 2027 07:26:01.534            97.852
                       5     2 Jun 2027 04:18:59.056     2 Jun 2027 04:25:09.236           370.180
                       6     2 Jun 2027 05:56:55.264     2 Jun 2027 06:00:54.274           239.011
                       7     2 Jun 2027 07:30:29.779     2 Jun 2027 07:38:00.188           450.409
                       8     3 Jun 2027 03:00:00.000     3 Jun 2027 03:01:30.956            90.956
                       9     3 Jun 2027 04:30:50.445     3 Jun 2027 04:36:45.931           355.486
                      10     3 Jun 2027 04:36:53.301     3 Jun 2027 04:37:35.699            42.398
                      11     3 Jun 2027 06:08:55.995     3 Jun 2027 06:13:04.802           248.807
                      12     3 Jun 2027 07:42:47.160     3 Jun 2027 07:49:27.099           399.939
                      13     4 Jun 2027 03:06:09.631     4 Jun 2027 03:13:28.207           438.576
                      14     4 Jun 2027 04:43:08.615     4 Jun 2027 04:48:05.118           296.503
                      15     4 Jun 2027 04:48:12.302     4 Jun 2027 04:49:22.277            69.976
                      16     4 Jun 2027 06:20:09.917     4 Jun 2027 06:25:02.175           292.258
                      17     4 Jun 2027 07:55:13.675     4 Jun 2027 07:55:55.137            41.461
                      18     4 Jun 2027 07:56:52.060     4 Jun 2027 08:00:09.060           197.000
                      19     5 Jun 2027 03:18:36.491     5 Jun 2027 03:25:19.196           402.705
                      20     5 Jun 2027 04:55:30.279     5 Jun 2027 04:59:53.534           263.255
                      21     5 Jun 2027 04:59:57.983     5 Jun 2027 05:01:08.551            70.568
                      22     5 Jun 2027 06:32:21.473     5 Jun 2027 06:36:53.226           271.753
                      23     5 Jun 2027 08:09:57.756     5 Jun 2027 08:11:42.192           104.436
                      24     6 Jun 2027 03:30:42.648     6 Jun 2027 03:37:24.202           401.554
                      25     6 Jun 2027 05:08:25.240     6 Jun 2027 05:12:51.714           266.474
                      26     6 Jun 2027 06:44:23.574     6 Jun 2027 06:49:09.612           286.038
                      27     7 Jun 2027 03:43:18.348     7 Jun 2027 03:49:29.069           370.720
                      28     7 Jun 2027 05:20:31.547     7 Jun 2027 05:25:10.363           278.815
                      29     7 Jun 2027 06:56:49.848     7 Jun 2027 07:01:31.225           281.377
                      30     8 Jun 2027 03:54:49.871     8 Jun 2027 04:01:16.748           386.876
                      31     8 Jun 2027 05:33:09.025     8 Jun 2027 05:36:59.881           230.856
                      32     8 Jun 2027 07:08:28.608     8 Jun 2027 07:12:37.948           249.339
                      33     8 Jun 2027 07:12:46.691     8 Jun 2027 07:13:58.294            71.603
